Gene stable ID	Gene stable ID version	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene % GC content	Gene type
ENSMUSG00000083738	ENSMUSG00000083738.2	predicted gene 14592 [Source:MGI Symbol;Acc:MGI:3705794]	X	52625246	52625805	Gm14592	44.46	processed_pseudogene
ENSMUSG00000084076	ENSMUSG00000084076.2	predicted gene 14600 [Source:MGI Symbol;Acc:MGI:3705546]	X	52635303	52635932	Gm14600	35.08	processed_pseudogene
ENSMUSG00000067925	ENSMUSG00000067925.5	retrotransposon Gag like 8A [Source:MGI Symbol;Acc:MGI:1913408]	X	52644455	52645649	Rtl8a	59.75	protein_coding
ENSMUSG00000067924	ENSMUSG00000067924.5	retrotransposon Gag like 8B [Source:MGI Symbol;Acc:MGI:3576504]	X	52671144	52672375	Rtl8b	59.66	protein_coding
ENSMUSG00000054727	ENSMUSG00000054727.3	RIKEN cDNA 1700013H16 gene [Source:MGI Symbol;Acc:MGI:1922764]	X	52744868	52759798	1700013H16Rik	41.89	protein_coding
ENSMUSG00000041523	ENSMUSG00000041523.4	uroplakin 2 [Source:MGI Symbol;Acc:MGI:98913]	9	44364012	44366273	Upk2	55.44	protein_coding
ENSMUSG00000032998	ENSMUSG00000032998.17	forkhead box J3 [Source:MGI Symbol;Acc:MGI:2443432]	4	119394201	119486316	Foxj3	39.86	protein_coding
ENSMUSG00000094437	ENSMUSG00000094437.3	predicted gene 9830 [Source:MGI Symbol;Acc:MGI:3704332]	9	44375540	44375896	Gm9830	45.38	processed_pseudogene
ENSMUSG00000057614	ENSMUSG00000057614.7	G protein subunit alpha i1 [Source:MGI Symbol;Acc:MGI:95771]	5	18470133	18565353	Gnai1	40.87	protein_coding
ENSMUSG00000082784	ENSMUSG00000082784.2	predicted gene 15957 [Source:MGI Symbol;Acc:MGI:3802074]	18	77306050	77307023	Gm15957	51.13	processed_pseudogene
ENSMUSG00000032458	ENSMUSG00000032458.7	COPI coat complex subunit beta 2 [Source:MGI Symbol;Acc:MGI:1354962]	9	98445774	98470435	Copb2	41.17	protein_coding
ENSMUSG00000084308	ENSMUSG00000084308.2	predicted gene 14593 [Source:MGI Symbol;Acc:MGI:3705445]	X	52774803	52775096	Gm14593	46.60	processed_pseudogene
ENSMUSG00000062742	ENSMUSG00000062742.5	predicted pseudogene 5239 [Source:MGI Symbol;Acc:MGI:3648788]	18	35669636	35670000	Gm5239	54.25	processed_pseudogene
ENSMUSG00000059334	ENSMUSG00000059334.7	zinc finger protein 36, C3H type-like 3 [Source:MGI Symbol;Acc:MGI:3525151]	X	52776015	52778361	Zfp36l3	60.84	protein_coding
ENSMUSG00000117869	ENSMUSG00000117869.2	small nucleolar RNA host gene 4 [Source:MGI Symbol;Acc:MGI:4937091]	18	35686424	35691369	Snhg4	44.46	lncRNA
ENSMUSG00002076492	ENSMUSG00002076492.1	predicted gene, 55386 [Source:MGI Symbol;Acc:MGI:6847243]	15	81470334	81470387	Gm55386	66.67	miRNA
ENSMUSG00000084739	ENSMUSG00000084739.4	predicted gene, 22067 [Source:MGI Symbol;Acc:MGI:5451844]	15	81476294	81476400	Gm22067	37.38	snRNA
ENSMUSG00000116516	ENSMUSG00000116516.2	predicted gene, 49444 [Source:MGI Symbol;Acc:MGI:6155091]	15	81540386	81540600	Gm49444	41.86	processed_pseudogene
ENSMUSG00000054626	ENSMUSG00000054626.12	X-linked lymphocyte-regulated [Source:MGI Symbol;Acc:MGI:98976]	X	52779085	52799673	Xlr	38.07	protein_coding
ENSMUSG00000022394	ENSMUSG00000022394.15	L3MBTL2 polycomb repressive complex 1 subunit [Source:MGI Symbol;Acc:MGI:2443584]	15	81548090	81572516	L3mbtl2	49.75	protein_coding
ENSMUSG00000117694	ENSMUSG00000117694.2	small nucleolar RNA host gene 4 [Source:MGI Symbol;Acc:MGI:4937091]	18	35686457	35720761	Snhg4	38.40	protein_coding
ENSMUSG00000105930	ENSMUSG00000105930.2	predicted gene, 17889 [Source:MGI Symbol;Acc:MGI:5010074]	5	19019202	19019799	Gm17889	48.66	processed_pseudogene
ENSMUSG00000089364	ENSMUSG00000089364.3	predicted gene, 23822 [Source:MGI Symbol;Acc:MGI:5453599]	5	19069575	19069702	Gm23822	46.09	snoRNA
ENSMUSG00000022025	ENSMUSG00000022025.14	chondromodulin [Source:MGI Symbol;Acc:MGI:1341171]	14	79875130	79899610	Cnmd	44.12	protein_coding
ENSMUSG00000106498	ENSMUSG00000106498.2	predicted gene 43032 [Source:MGI Symbol;Acc:MGI:5663169]	5	19403481	19406603	Gm43032	36.31	TEC
ENSMUSG00000106433	ENSMUSG00000106433.2	predicted gene, 32102 [Source:MGI Symbol;Acc:MGI:5591261]	5	19408670	19408910	Gm32102	51.45	processed_pseudogene
ENSMUSG00000029121	ENSMUSG00000029121.17	collapsin response mediator protein 1 [Source:MGI Symbol;Acc:MGI:107793]	5	37399284	37449477	Crmp1	48.81	protein_coding
ENSMUSG00000076453	ENSMUSG00000076453.3	microRNA 759 [Source:MGI Symbol;Acc:MGI:3691612]	14	79975871	79975968	Mir759	31.63	miRNA
ENSMUSG00000021900	ENSMUSG00000021900.11	biotinidase [Source:MGI Symbol;Acc:MGI:1347001]	14	31362985	31390536	Btd	47.18	protein_coding
ENSMUSG00000036422	ENSMUSG00000036422.11	protocadherin 8 [Source:MGI Symbol;Acc:MGI:1306800]	14	80004215	80008752	Pcdh8	59.26	protein_coding
ENSMUSG00000088793	ENSMUSG00000088793.4	predicted gene, 22540 [Source:MGI Symbol;Acc:MGI:5452317]	9	44387713	44387829	Gm22540	46.15	snRNA
ENSMUSG00000111777	ENSMUSG00000111777.2	predicted gene, 47147 [Source:MGI Symbol;Acc:MGI:6095911]	9	98457361	98458819	Gm47147	39.68	processed_pseudogene
ENSMUSG00000111312	ENSMUSG00000111312.2	predicted gene, 47205 [Source:MGI Symbol;Acc:MGI:6096005]	9	44392811	44395100	Gm47205	58.08	TEC
ENSMUSG00000032459	ENSMUSG00000032459.10	mitochondrial ribosomal protein S22 [Source:MGI Symbol;Acc:MGI:1928137]	9	98470783	98483713	Mrps22	44.83	protein_coding
ENSMUSG00000006356	ENSMUSG00000006356.11	cysteine rich protein 2 [Source:MGI Symbol;Acc:MGI:1915587]	12	113103856	113109126	Crip2	58.66	protein_coding
ENSMUSG00000100249	ENSMUSG00000100249.2	BTB domain containing 35, family member 23 [Source:MGI Symbol;Acc:MGI:5439401]	X	3076875	3078817	Btbd35f23	38.81	protein_coding
ENSMUSG00002076087	ENSMUSG00002076087.1	predicted gene, 55603 [Source:MGI Symbol;Acc:MGI:6847674]	X	138555043	138555366	Gm55603	45.06	misc_RNA
ENSMUSG00000026611	ENSMUSG00000026611.18	spermatogenesis associated 17 [Source:MGI Symbol;Acc:MGI:1921967]	1	186776845	186947662	Spata17	40.97	protein_coding
ENSMUSG00000082018	ENSMUSG00000082018.3	predicted gene 6322 [Source:MGI Symbol;Acc:MGI:3645541]	X	138576836	138578238	Gm6322	50.68	processed_pseudogene
ENSMUSG00000098559	ENSMUSG00000098559.3	predicted gene 15013 [Source:MGI Symbol;Acc:MGI:3644991]	X	138614430	138615230	Gm15013	47.19	processed_pseudogene
ENSMUSG00000083741	ENSMUSG00000083741.2	predicted gene 15297 [Source:MGI Symbol;Acc:MGI:3705553]	X	140560176	140560658	Gm15297	42.03	processed_pseudogene
ENSMUSG00000086907	ENSMUSG00000086907.2	predicted gene 15298 [Source:MGI Symbol;Acc:MGI:3705276]	X	140683578	140685451	Gm15298	49.04	lncRNA
ENSMUSG00000064125	ENSMUSG00000064125.15	proline rich 36 [Source:MGI Symbol;Acc:MGI:3605626]	8	4259543	4267459	Prr36	55.30	protein_coding
ENSMUSG00000067835	ENSMUSG00000067835.5	predicted gene 14661 [Source:MGI Symbol;Acc:MGI:3641636]	X	59601334	59851599	Gm14661	39.59	lncRNA
ENSMUSG00000095959	ENSMUSG00000095959.3	predicted gene 10845 [Source:MGI Symbol;Acc:MGI:3641716]	14	80097961	80106616	Gm10845	44.51	lncRNA
ENSMUSG00000115291	ENSMUSG00000115291.2	predicted gene, 18605 [Source:MGI Symbol;Acc:MGI:5010790]	14	80185097	80185719	Gm18605	38.04	processed_pseudogene
ENSMUSG00000113819	ENSMUSG00000113819.2	predicted gene, 48017 [Source:MGI Symbol;Acc:MGI:6097326]	13	14215977	14216184	Gm48017	51.44	processed_pseudogene
ENSMUSG00000022026	ENSMUSG00000022026.8	olfactomedin 4 [Source:MGI Symbol;Acc:MGI:2685142]	14	80221521	80260579	Olfm4	41.89	protein_coding
ENSMUSG00000021676	ENSMUSG00000021676.11	IQ motif containing GTPase activating protein 2 [Source:MGI Symbol;Acc:MGI:2449975]	13	95763682	96028991	Iqgap2	44.15	protein_coding
ENSMUSG00000081729	ENSMUSG00000081729.2	heat shock protein 9, pseudogene 1 [Source:MGI Symbol;Acc:MGI:96246]	X	59620552	59622484	Hspa9-ps1	44.85	processed_pseudogene
ENSMUSG00000086562	ENSMUSG00000086562.2	predicted gene 14651 [Source:MGI Symbol;Acc:MGI:3826517]	X	59658416	59658857	Gm14651	42.99	processed_pseudogene
ENSMUSG00000083463	ENSMUSG00000083463.2	predicted gene 4909 [Source:MGI Symbol;Acc:MGI:3648723]	X	59749876	59750669	Gm4909	50.38	processed_pseudogene
ENSMUSG00000102861	ENSMUSG00000102861.2	predicted gene, 37637 [Source:MGI Symbol;Acc:MGI:5610865]	9	98472548	98473803	Gm37637	43.55	lncRNA
ENSMUSG00002076308	ENSMUSG00002076308.1	predicted gene, 55625 [Source:MGI Symbol;Acc:MGI:6847718]	9	98587783	98587889	Gm55625	32.71	misc_RNA
ENSMUSG00000102458	ENSMUSG00000102458.2	polled intersex syndrome regulated transcript 1 [Source:MGI Symbol;Acc:MGI:3028611]	9	98587805	98588319	Pisrt1	47.77	TEC
ENSMUSG00000084331	ENSMUSG00000084331.2	predicted gene 8163 [Source:MGI Symbol;Acc:MGI:3644711]	X	59769995	59771054	Gm8163	50.57	processed_pseudogene
ENSMUSG00000118571	ENSMUSG00000118571.2	predicted gene, 52986 [Source:MGI Symbol;Acc:MGI:6388869]	11	101257539	101257689	Gm52986	46.36	unprocessed_pseudogene
ENSMUSG00000102889	ENSMUSG00000102889.2	predicted gene, 37282 [Source:MGI Symbol;Acc:MGI:5610510]	9	98649706	98649869	Gm37282	58.54	TEC
ENSMUSG00000103276	ENSMUSG00000103276.2	predicted gene, 37917 [Source:MGI Symbol;Acc:MGI:5611145]	9	98649983	98650374	Gm37917	45.92	TEC
ENSMUSG00000017453	ENSMUSG00000017453.5	pipecolic acid oxidase [Source:MGI Symbol;Acc:MGI:1197006]	11	77771441	77784922	Pipox	48.37	protein_coding
ENSMUSG00000103949	ENSMUSG00000103949.2	predicted gene, 38226 [Source:MGI Symbol;Acc:MGI:5611454]	9	98653158	98653678	Gm38226	48.94	TEC
ENSMUSG00000081891	ENSMUSG00000081891.2	predicted gene 14660 [Source:MGI Symbol;Acc:MGI:3705728]	X	59861814	59862388	Gm14660	50.61	processed_pseudogene
ENSMUSG00000091080	ENSMUSG00000091080.3	proline rich 23A, member 1 [Source:MGI Symbol;Acc:MGI:3645743]	9	98724556	98725438	Prr23a1	64.67	protein_coding
ENSMUSG00000045179	ENSMUSG00000045179.10	SRY (sex determining region Y)-box 3 [Source:MGI Symbol;Acc:MGI:98365]	X	59934972	59937036	Sox3	66.44	protein_coding
ENSMUSG00000063058	ENSMUSG00000063058.3	proline rich 23A, member 2 [Source:MGI Symbol;Acc:MGI:3645937]	9	98738547	98739427	Prr23a2	63.79	protein_coding
ENSMUSG00000090470	ENSMUSG00000090470.3	proline rich 23A, member 3 [Source:MGI Symbol;Acc:MGI:1919229]	9	98746820	98748636	Prr23a3	52.50	protein_coding
ENSMUSG00000086577	ENSMUSG00000086577.2	predicted pseudogene 7076 [Source:MGI Symbol;Acc:MGI:3646842]	X	59950318	59950773	Gm7076	55.04	processed_pseudogene
ENSMUSG00000082226	ENSMUSG00000082226.5	predicted gene 715 [Source:MGI Symbol;Acc:MGI:2685561]	X	59591614	59592823	Gm715	53.72	protein_coding
ENSMUSG00000025333	ENSMUSG00000025333.11	G protein-coupled receptor 143 [Source:MGI Symbol;Acc:MGI:107193]	X	151564917	151591642	Gpr143	41.54	protein_coding
ENSMUSG00000100839	ENSMUSG00000100839.2	predicted gene 5920 [Source:MGI Symbol;Acc:MGI:3645716]	9	98755117	98755969	Gm5920	44.20	processed_pseudogene
ENSMUSG00000110788	ENSMUSG00000110788.2	predicted gene, 33700 [Source:MGI Symbol;Acc:MGI:5592859]	9	98770264	98770960	Gm33700	57.68	processed_pseudogene
ENSMUSG00000074123	ENSMUSG00000074123.2	proline rich 23A, member 4 [Source:MGI Symbol;Acc:MGI:3588253]	9	98785172	98786675	Prr23a4	48.40	protein_coding
ENSMUSG00002076696	ENSMUSG00002076696.1	predicted gene, 54507 [Source:MGI Symbol;Acc:MGI:6845494]	18	35687545	35687685	Gm54507	51.06	snoRNA
ENSMUSG00000105743	ENSMUSG00000105743.3	microRNA 1949 [Source:MGI Symbol;Acc:MGI:3837022]	18	35687620	35687689	Mir1949	50.00	miRNA
ENSMUSG00000065649	ENSMUSG00000065649.3	small nucleolar RNA, H/ACA box 74A [Source:MGI Symbol;Acc:MGI:3646921]	18	35690085	35690280	Snora74a	51.53	snoRNA
ENSMUSG00000115334	ENSMUSG00000115334.2	predicted gene, 17923 [Source:MGI Symbol;Acc:MGI:5010108]	14	80452370	80453792	Gm17923	51.37	processed_pseudogene
ENSMUSG00000111411	ENSMUSG00000111411.2	predicted gene, 33778 [Source:MGI Symbol;Acc:MGI:5592937]	9	98801031	98801734	Gm33778	57.10	processed_pseudogene
ENSMUSG00002075136	ENSMUSG00002075136.1	predicted gene, 54508 [Source:MGI Symbol;Acc:MGI:6845496]	18	35690185	35690295	Gm54508	45.05	miRNA
ENSMUSG00000098125	ENSMUSG00000098125.2	predicted gene 9578 [Source:MGI Symbol;Acc:MGI:3779987]	14	80579173	80579925	Gm9578	48.74	processed_pseudogene
ENSMUSG00000031774	ENSMUSG00000031774.9	proteasome activator subunit 3 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1919637]	8	95300766	95328625	Psme3ip1	44.55	protein_coding
ENSMUSG00000101240	ENSMUSG00000101240.2	predicted gene 28266 [Source:MGI Symbol;Acc:MGI:5578972]	9	98807227	98807665	Gm28266	45.79	processed_pseudogene
ENSMUSG00000037236	ENSMUSG00000037236.17	matrin 3 [Source:MGI Symbol;Acc:MGI:1298379]	18	35695191	35726888	Matr3	36.26	protein_coding
ENSMUSG00000032601	ENSMUSG00000032601.14	protein kinase, cAMP dependent regulatory, type II alpha [Source:MGI Symbol;Acc:MGI:108025]	9	108566513	108627635	Prkar2a	43.17	protein_coding
ENSMUSG00000115036	ENSMUSG00000115036.2	predicted gene, 49043 [Source:MGI Symbol;Acc:MGI:6118418]	14	80679845	80680310	Gm49043	37.12	processed_pseudogene
ENSMUSG00000115346	ENSMUSG00000115346.2	predicted gene, 19120 [Source:MGI Symbol;Acc:MGI:5011305]	14	81071772	81072459	Gm19120	37.50	processed_pseudogene
ENSMUSG00000115716	ENSMUSG00000115716.2	predicted gene, 49044 [Source:MGI Symbol;Acc:MGI:6118419]	14	81168177	81168477	Gm49044	40.20	processed_pseudogene
ENSMUSG00000006360	ENSMUSG00000006360.12	cysteine-rich protein 1 [Source:MGI Symbol;Acc:MGI:88501]	12	113109936	113117499	Crip1	55.00	protein_coding
ENSMUSG00000115297	ENSMUSG00000115297.2	predicted gene, 49045 [Source:MGI Symbol;Acc:MGI:6118420]	14	81211733	81212107	Gm49045	37.60	processed_pseudogene
ENSMUSG00000115465	ENSMUSG00000115465.2	cytochrome P450, family 2, subfamily c, polypeptide 73, pseudogene [Source:MGI Symbol;Acc:MGI:3721927]	14	81607485	81608531	Cyp2c73-ps	38.87	processed_pseudogene
ENSMUSG00000115385	ENSMUSG00000115385.2	predicted gene, 19311 [Source:MGI Symbol;Acc:MGI:5011496]	14	81940646	81941111	Gm19311	41.20	processed_pseudogene
ENSMUSG00000115175	ENSMUSG00000115175.2	predicted gene, 18525 [Source:MGI Symbol;Acc:MGI:5010710]	14	82076610	82077819	Gm18525	42.31	processed_pseudogene
ENSMUSG00000115731	ENSMUSG00000115731.2	predicted gene, 19050 [Source:MGI Symbol;Acc:MGI:5011235]	14	82358871	82359675	Gm19050	42.36	processed_pseudogene
ENSMUSG00000115476	ENSMUSG00000115476.2	predicted gene, 49047 [Source:MGI Symbol;Acc:MGI:6118423]	14	82366059	82366290	Gm49047	43.53	processed_pseudogene
ENSMUSG00002075834	ENSMUSG00002075834.1	predicted gene, 55063 [Source:MGI Symbol;Acc:MGI:6846600]	14	82621806	82621969	Gm55063	41.46	snRNA
ENSMUSG00000115051	ENSMUSG00000115051.2	predicted gene, 49049 [Source:MGI Symbol;Acc:MGI:6118426]	14	83007831	83008017	Gm49049	47.06	processed_pseudogene
ENSMUSG00000115847	ENSMUSG00000115847.2	predicted gene, 49050 [Source:MGI Symbol;Acc:MGI:6118427]	14	83093404	83093784	Gm49050	44.09	processed_pseudogene
ENSMUSG00000075254	ENSMUSG00000075254.13	heart development protein with EGF-like domains 1 [Source:MGI Symbol;Acc:MGI:1924696]	16	33504740	33591946	Heg1	46.71	protein_coding
ENSMUSG00000115031	ENSMUSG00000115031.2	predicted gene, 49051 [Source:MGI Symbol;Acc:MGI:6118428]	14	83130277	83130546	Gm49051	38.89	processed_pseudogene
ENSMUSG00000088009	ENSMUSG00000088009.3	predicted gene, 24774 [Source:MGI Symbol;Acc:MGI:5454551]	14	83643071	83643204	Gm24774	43.28	snoRNA
ENSMUSG00000115393	ENSMUSG00000115393.2	Tcstv family member, pseudogene 6 [Source:MGI Symbol;Acc:MGI:6118429]	14	83733838	83734341	Tcstv-ps6	48.41	processed_pseudogene
ENSMUSG00000115780	ENSMUSG00000115780.2	predicted gene, 49053 [Source:MGI Symbol;Acc:MGI:6118430]	14	83990088	83990499	Gm49053	48.06	processed_pseudogene
ENSMUSG00000115006	ENSMUSG00000115006.2	predicted gene, 49054 [Source:MGI Symbol;Acc:MGI:6118431]	14	84170240	84177181	Gm49054	38.97	lncRNA
ENSMUSG00000037451	ENSMUSG00000037451.9	solute carrier family 22 (organic anion transporter), member 20 [Source:MGI Symbol;Acc:MGI:2685809]	19	6020262	6036171	Slc22a20	48.85	protein_coding
ENSMUSG00000115282	ENSMUSG00000115282.2	predicted gene, 49055 [Source:MGI Symbol;Acc:MGI:6118433]	14	84221034	84221403	Gm49055	58.38	processed_pseudogene
ENSMUSG00000115770	ENSMUSG00000115770.2	predicted gene, 49056 [Source:MGI Symbol;Acc:MGI:6118434]	14	84352239	84352529	Gm49056	50.86	processed_pseudogene
ENSMUSG00000115612	ENSMUSG00000115612.2	predicted gene, 29800 [Source:MGI Symbol;Acc:MGI:5588959]	14	84363926	84364314	Gm29800	49.36	processed_pseudogene
ENSMUSG00000115227	ENSMUSG00000115227.2	predicted gene, 49057 [Source:MGI Symbol;Acc:MGI:6118435]	14	84628750	84629019	Gm49057	40.74	processed_pseudogene
ENSMUSG00000035566	ENSMUSG00000035566.8	protocadherin 17 [Source:MGI Symbol;Acc:MGI:2684924]	14	84681003	84776442	Pcdh17	35.40	protein_coding
ENSMUSG00000078650	ENSMUSG00000078650.3	glucose-6-phosphatase catalytic subunit 1 [Source:MGI Symbol;Acc:MGI:95607]	11	101258387	101268729	G6pc1	46.12	protein_coding
ENSMUSG00000083440	ENSMUSG00000083440.2	ribosomal protein L7A, pseudogene 12 [Source:MGI Symbol;Acc:MGI:3647534]	X	151691774	151693292	Rpl7a-ps12	50.16	processed_pseudogene
ENSMUSG00002076348	ENSMUSG00002076348.1	predicted gene, 55604 [Source:MGI Symbol;Acc:MGI:6847676]	X	151706449	151706756	Gm55604	56.17	misc_RNA
ENSMUSG00000067215	ENSMUSG00000067215.6	ubiquitin specific protease 51 [Source:MGI Symbol;Acc:MGI:3588217]	X	151789465	151792412	Usp51	50.85	protein_coding
ENSMUSG00000047238	ENSMUSG00000047238.5	MAGE family member H1 [Source:MGI Symbol;Acc:MGI:1922875]	X	151819162	151820571	Mageh1	48.37	protein_coding
ENSMUSG00000089040	ENSMUSG00000089040.4	predicted gene, 26174 [Source:MGI Symbol;Acc:MGI:5455951]	X	81222060	81222278	Gm26174	61.19	ribozyme
ENSMUSG00000064781	ENSMUSG00000064781.4	predicted gene, 22686 [Source:MGI Symbol;Acc:MGI:5452463]	X	81231288	81231387	Gm22686	35.00	snRNA
ENSMUSG00000083113	ENSMUSG00000083113.2	ribosomal protein L10, pseudogene 4 [Source:MGI Symbol;Acc:MGI:3647741]	X	81444330	81444615	Rpl10-ps4	48.60	processed_pseudogene
ENSMUSG00000119611	ENSMUSG00000119611.1	predicted gene, 24706 [Source:MGI Symbol;Acc:MGI:5454483]	X	81444697	81444833	Gm24706	48.91	snoRNA
ENSMUSG00000115743	ENSMUSG00000115743.2	predicted gene 7004 [Source:MGI Symbol;Acc:MGI:3646248]	14	84995066	84996523	Gm7004	52.61	processed_pseudogene
ENSMUSG00000046180	ENSMUSG00000046180.12	MAGE family member A13 [Source:MGI Symbol;Acc:MGI:1922602]	X	57954720	57965664	Magea13	42.21	protein_coding
ENSMUSG00000115239	ENSMUSG00000115239.2	predicted gene 9264 [Source:MGI Symbol;Acc:MGI:3643302]	14	85716466	85716973	Gm9264	45.47	processed_pseudogene
ENSMUSG00000115653	ENSMUSG00000115653.2	predicted gene, 49059 [Source:MGI Symbol;Acc:MGI:6118438]	14	85892644	85893337	Gm49059	41.93	processed_pseudogene
ENSMUSG00000115836	ENSMUSG00000115836.2	predicted gene, 49060 [Source:MGI Symbol;Acc:MGI:6118439]	14	86442182	86442812	Gm49060	59.11	processed_pseudogene
ENSMUSG00000115014	ENSMUSG00000115014.2	predicted gene, 49061 [Source:MGI Symbol;Acc:MGI:6118440]	14	86453439	86453870	Gm49061	46.76	processed_pseudogene
ENSMUSG00000115128	ENSMUSG00000115128.2	predicted gene, 49062 [Source:MGI Symbol;Acc:MGI:6118441]	14	86467052	86467241	Gm49062	43.68	processed_pseudogene
ENSMUSG00000024942	ENSMUSG00000024942.20	calpain 1 [Source:MGI Symbol;Acc:MGI:88263]	19	6038573	6065927	Capn1	51.82	protein_coding
ENSMUSG00000115176	ENSMUSG00000115176.2	predicted gene, 49063 [Source:MGI Symbol;Acc:MGI:6118442]	14	86528147	86528660	Gm49063	42.41	processed_pseudogene
ENSMUSG00000064759	ENSMUSG00000064759.4	predicted gene, 25475 [Source:MGI Symbol;Acc:MGI:5455252]	11	101288415	101288594	Gm25475	30.00	snRNA
ENSMUSG00000064407	ENSMUSG00000064407.4	predicted gene, 23926 [Source:MGI Symbol;Acc:MGI:5453703]	14	86548725	86548814	Gm23926	37.78	snRNA
ENSMUSG00000115089	ENSMUSG00000115089.2	predicted gene 4350 [Source:MGI Symbol;Acc:MGI:3782534]	14	86557721	86558299	Gm4350	41.80	processed_pseudogene
ENSMUSG00000025580	ENSMUSG00000025580.16	eukaryotic translation initiation factor 4A3 [Source:MGI Symbol;Acc:MGI:1923731]	11	119179189	119190915	Eif4a3	49.32	protein_coding
ENSMUSG00000115664	ENSMUSG00000115664.2	predicted gene, 32913 [Source:MGI Symbol;Acc:MGI:5592072]	14	86633818	86646535	Gm32913	40.36	lncRNA
ENSMUSG00000088157	ENSMUSG00000088157.4	predicted gene, 26351 [Source:MGI Symbol;Acc:MGI:5456128]	X	58126251	58126482	Gm26351	54.31	ribozyme
ENSMUSG00000070110	ENSMUSG00000070110.4	microRNA 504 [Source:MGI Symbol;Acc:MGI:3718543]	X	58143018	58143096	Mir504	53.16	miRNA
ENSMUSG00000087812	ENSMUSG00000087812.3	predicted gene, 25115 [Source:MGI Symbol;Acc:MGI:5454892]	14	86645958	86646097	Gm25115	44.29	snRNA
ENSMUSG00000088647	ENSMUSG00000088647.3	predicted gene, 26487 [Source:MGI Symbol;Acc:MGI:5456264]	X	58236133	58236226	Gm26487	40.43	snRNA
ENSMUSG00000081209	ENSMUSG00000081209.2	predicted gene 14890 [Source:MGI Symbol;Acc:MGI:3802134]	X	58242323	58242998	Gm14890	45.12	processed_pseudogene
ENSMUSG00000115401	ENSMUSG00000115401.2	predicted gene, 49157 [Source:MGI Symbol;Acc:MGI:6118578]	14	86740882	86741011	Gm49157	46.92	processed_pseudogene
ENSMUSG00000115776	ENSMUSG00000115776.2	predicted gene, 49158 [Source:MGI Symbol;Acc:MGI:6118579]	14	86749051	86749507	Gm49158	44.86	processed_pseudogene
ENSMUSG00000014496	ENSMUSG00000014496.9	ankyrin repeat domain 28 [Source:MGI Symbol;Acc:MGI:2145661]	14	31420725	31552608	Ankrd28	37.89	protein_coding
ENSMUSG00000081993	ENSMUSG00000081993.2	predicted gene 8475 [Source:MGI Symbol;Acc:MGI:3644679]	X	151348208	151348733	Gm8475	44.87	processed_pseudogene
ENSMUSG00000045180	ENSMUSG00000045180.14	shroom family member 2 [Source:MGI Symbol;Acc:MGI:107194]	X	151392505	151552461	Shroom2	40.41	protein_coding
ENSMUSG00000037466	ENSMUSG00000037466.14	tubulin epsilon and delta complex 1 [Source:MGI Symbol;Acc:MGI:2144738]	12	113120041	113129668	Tedc1	55.04	protein_coding
ENSMUSG00000065722	ENSMUSG00000065722.3	predicted gene, 26166 [Source:MGI Symbol;Acc:MGI:5455943]	3	58197672	58197778	Gm26166	39.25	snRNA
ENSMUSG00000089831	ENSMUSG00000089831.2	predicted gene 15508 [Source:MGI Symbol;Acc:MGI:3782956]	1	186805208	186805532	Gm15508	40.31	processed_pseudogene
ENSMUSG00000106176	ENSMUSG00000106176.2	predicted gene 43730 [Source:MGI Symbol;Acc:MGI:5663867]	3	58222360	58222731	Gm43730	48.39	processed_pseudogene
ENSMUSG00000106839	ENSMUSG00000106839.2	predicted gene 43497 [Source:MGI Symbol;Acc:MGI:5663634]	1	186813766	186816081	Gm43497	38.13	TEC
ENSMUSG00000107163	ENSMUSG00000107163.2	predicted gene 43496 [Source:MGI Symbol;Acc:MGI:5663633]	1	186820357	186823357	Gm43496	42.19	TEC
ENSMUSG00000053054	ENSMUSG00000053054.14	alcohol dehydrogenase 6A (class V) [Source:MGI Symbol;Acc:MGI:1916367]	3	138019047	138036895	Adh6a	41.83	protein_coding
ENSMUSG00000038156	ENSMUSG00000038156.17	spondin 1, (f-spondin) extracellular matrix protein [Source:MGI Symbol;Acc:MGI:2385287]	7	113365235	113642605	Spon1	44.26	protein_coding
ENSMUSG00000079434	ENSMUSG00000079434.9	neuraminidase 2 [Source:MGI Symbol;Acc:MGI:1344417]	1	87437611	87525567	Neu2	46.23	protein_coding
ENSMUSG00000029122	ENSMUSG00000029122.12	EvC ciliary complex subunit 1 [Source:MGI Symbol;Acc:MGI:1890596]	5	37446442	37494238	Evc	49.42	protein_coding
ENSMUSG00000097239	ENSMUSG00000097239.8	predicted gene, 27029 [Source:MGI Symbol;Acc:MGI:5504144]	11	101297490	101315622	Gm27029	47.50	protein_coding
ENSMUSG00000033256	ENSMUSG00000033256.15	Src homology 2 domain containing F [Source:MGI Symbol;Acc:MGI:3613669]	2	122179373	122199643	Shf	52.24	protein_coding
ENSMUSG00000105111	ENSMUSG00000105111.2	predicted gene 43310 [Source:MGI Symbol;Acc:MGI:5663447]	12	113136107	113136926	Gm43310	51.83	processed_pseudogene
ENSMUSG00000049036	ENSMUSG00000049036.8	transmembrane protein 121 [Source:MGI Symbol;Acc:MGI:1916445]	12	113149550	113153143	Tmem121	60.43	protein_coding
